pret,descriere_zona,an_constructie,compartimentare,confort,etaj,nr_balcoane,nr_bucatarii,nr_bai,nr_camere,nr_garaje,nr_locuri_parcare,regim_inaltime,str_rezistenta,supraf_constr,supraf_utila,supraf_utila_totala,tip_imobil,zona,lat,long
79800,"Bucuresti, zona Mihai Bravu   160 m (2 minute)",2019,decomandat,1,Etaj 4,,1,1,2,,,P+9E,beton,67,55,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
110000,"Bucuresti, zona Mihai Bravu   170 m (2 minute)",2019,decomandat,lux,Etaj 9,,1,2,3,1,,P+9E,caramida,98,78,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
84000,"Bucuresti, Sector 3, zona Mihai Bravu   320 m (4 minute)",2020,decomandat,lux,Etaj 5,1,1,1,2,,,D+P+6E,beton,67,57.8,57.8,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
92900,"Bucuresti, Sector 3, zona Mihai Bravu   260 m (3 minute)",2020,decomandat,1,Etaj 3,1,1,1,2,,,S+P+11E,beton,66,56.96,56.96,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
110840,"Bucuresti, Sector 3, zona Mihai Bravu   270 m (3 minute)",2020,decomandat,1,Etaj 2,1,1,2,3,,,S+P+11E,beton,69.18,64.14,64.14,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
79800,"Bucuresti, zona Mihai Bravu   150 m (2 minute)",2020,decomandat,1,Etaj 5,,1,1,2,,,P+10E,beton,70,55,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
93800,"Bucuresti, Sector 3, zona Mihai Bravu   70 m (1 minut)",2020,decomandat,lux,Etaj 3,1,1,1,2,,,S+P+11E,beton,56.96,51.92,51.92,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
79800,"Bucuresti, zona Mihai Bravu   160 m (2 minute)",2020,decomandat,lux,Etaj 4,,1,1,2,,,P+10E,beton,70,55,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
91620,"Bucuresti, Sector 3, zona Mihai Bravu   250 m (3 minute)",2020,decomandat,1,Etaj 1,1,1,1,2,,,S+P+7E,beton,72,61,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
91620,"Bucuresti, Sector 3, zona Mihai Bravu   250 m (3 minute)",2020,decomandat,1,Etaj 1,1,1,1,2,,,S+P+7E,beton,72,61,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
78000,"Bucuresti, Sector 3, zona Mihai Bravu   350 m (4 minute)",2020,decomandat,lux,Etaj 5,1,1,1,2,,,D+P+6E,beton,62,53.5,53.5,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
96000,"Bucuresti, Sector 3, zona Mihai Bravu   110 m (1 minut)",2018,decomandat,1,Etaj 9,1,1,1,2,,,S+P+9E,beton,71.28,56.23,60.85,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
79800,"Bucuresti, zona Mihai Bravu   150 m (2 minute)",2020,decomandat,1,Etaj 5,,1,1,2,,,P+10E,beton,67,55,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
86680,"Bucuresti, Sector 3, zona Mihai Bravu   230 m (3 minute)",2020,decomandat,1,Etaj 6,1,1,1,2,,,P+7E,beton,68,58,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
86680,"Bucuresti, Sector 3, zona Mihai Bravu   230 m (3 minute)",2020,decomandat,1,Etaj 6,1,1,1,2,,,P+7E,beton,68,58,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
125500,"Bucuresti, Sector 3, zona Mihai Bravu",2019,decomandat,lux,Etaj 2,1 (închise),1,2,3,1,1,D+P+2E+M,beton,89,76.95,76.95,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
115425,"Bucuresti, Sector 3, zona Mihai Bravu   350 m (4 minute)",2019,decomandat,1,Etaj 2,1 (închise),1,2,3,,,P+3E,beton,90,77,77,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
