pret,descriere_zona,an_constructie,compartimentare,confort,etaj,nr_balcoane,nr_bucatarii,nr_bai,nr_camere,nr_garaje,nr_locuri_parcare,regim_inaltime,str_rezistenta,supraf_utila,tip_imobil,zona,lat,long
79800,"Bucuresti, zona Mihai Bravu   160 m (2 minute)",2019.0,decomandat,1,Etaj 4,0,1.0,1.0,2.0,0.0,,P+9E,beton,55.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
110000,"Bucuresti, zona Mihai Bravu   170 m (2 minute)",2019.0,decomandat,lux,Etaj 9,0,1.0,2.0,3.0,1.0,,P+9E,caramida,78.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
84000,"Bucuresti, Sector 3, zona Mihai Bravu   320 m (4 minute)",2020.0,decomandat,lux,Etaj 5,1,1.0,1.0,2.0,0.0,,D+P+6E,beton,57.8,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
92900,"Bucuresti, Sector 3, zona Mihai Bravu   260 m (3 minute)",2020.0,decomandat,1,Etaj 3,1,1.0,1.0,2.0,0.0,,S+P+11E,beton,56.96,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
110840,"Bucuresti, Sector 3, zona Mihai Bravu   270 m (3 minute)",2020.0,decomandat,1,Etaj 2,1,1.0,2.0,3.0,0.0,,S+P+11E,beton,64.14,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
79800,"Bucuresti, zona Mihai Bravu   150 m (2 minute)",2020.0,decomandat,1,Etaj 5,0,1.0,1.0,2.0,0.0,,P+10E,beton,55.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
93800,"Bucuresti, Sector 3, zona Mihai Bravu   70 m (1 minut)",2020.0,decomandat,lux,Etaj 3,1,1.0,1.0,2.0,0.0,,S+P+11E,beton,51.92,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
79800,"Bucuresti, zona Mihai Bravu   160 m (2 minute)",2020.0,decomandat,lux,Etaj 4,0,1.0,1.0,2.0,0.0,,P+10E,beton,55.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
91620,"Bucuresti, Sector 3, zona Mihai Bravu   250 m (3 minute)",2020.0,decomandat,1,Etaj 1,1,1.0,1.0,2.0,0.0,,S+P+7E,beton,61.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
91620,"Bucuresti, Sector 3, zona Mihai Bravu   250 m (3 minute)",2020.0,decomandat,1,Etaj 1,1,1.0,1.0,2.0,0.0,,S+P+7E,beton,61.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
78000,"Bucuresti, Sector 3, zona Mihai Bravu   350 m (4 minute)",2020.0,decomandat,lux,Etaj 5,1,1.0,1.0,2.0,0.0,,D+P+6E,beton,53.5,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
96000,"Bucuresti, Sector 3, zona Mihai Bravu   110 m (1 minut)",2018.0,decomandat,1,Etaj 9,1,1.0,1.0,2.0,0.0,,S+P+9E,beton,56.23,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
79800,"Bucuresti, zona Mihai Bravu   150 m (2 minute)",2020.0,decomandat,1,Etaj 5,0,1.0,1.0,2.0,0.0,,P+10E,beton,55.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
86680,"Bucuresti, Sector 3, zona Mihai Bravu   230 m (3 minute)",2020.0,decomandat,1,Etaj 6,1,1.0,1.0,2.0,0.0,,P+7E,beton,58.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
86680,"Bucuresti, Sector 3, zona Mihai Bravu   230 m (3 minute)",2020.0,decomandat,1,Etaj 6,1,1.0,1.0,2.0,0.0,,P+7E,beton,58.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
125500,"Bucuresti, Sector 3, zona Mihai Bravu",2019.0,decomandat,lux,Etaj 2,1,1.0,2.0,3.0,1.0,1.0,D+P+2E+M,beton,76.95,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
115425,"Bucuresti, Sector 3, zona Mihai Bravu   350 m (4 minute)",2019.0,decomandat,1,Etaj 2,1,1.0,2.0,3.0,0.0,,P+3E,beton,77.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
90000,"Bucuresti, Sector 3, zona Mihai Bravu   190 m (2 minute)",2020.0,decomandat,lux,Etaj 1,1,1.0,1.0,2.0,1.0,1.0,D+P+2E+M,beton,64.25,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
87857,"Bucuresti, Sector 3, zona Mihai Bravu",2020.0,,,Etaj 3,1,1.0,1.0,2.0,0.0,,,beton,52.17,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
